date,amount,category,subcategory,description,merchant,transaction_type,user_id
2024-01-25,190.7,Healthcare,Pharmacy,Insurance,CVS Pharmacy,expense,2
2024-01-28,28.72,Food & Dining,Fast Food,Lunch,DoorDash,expense,2
2024-01-29,199.0,Healthcare,Dental,Prescription,CVS Pharmacy,expense,2
2024-02-01,4277.82,Salary,Salary,Monthly salary payment,Healthcare LLC,income,2
2024-02-01,1705.22,Housing,HOA Fees,Mortgage payment,Home Depot,expense,2
2024-02-01,29.23,Entertainment,Music,Movie tickets,Steam,expense,2
2024-02-02,273.11,Travel,Car Rental,Hotel stay,Hertz,expense,2
2024-02-03,150.0,Healthcare,Dental,Insurance,Dental Associates,expense,2
2024-02-04,24.45,Shopping,Books,Retail shopping,Walgreens,expense,2
2024-02-06,1685.9,Housing,Mortgage,Property maintenance,Bank of America,expense,2
2024-02-06,11.54,Entertainment,Streaming,Movie tickets,Netflix,expense,2
2024-02-06,46.51,Bank Fee,Bank Fee,Really individual foreign true address.,Thomas Group,expense,2
2024-02-07,6.53,Entertainment,Music,Movie tickets,PlayStation Store,expense,2
2024-02-09,86.45,Transportation,Gas,Car payment,Metro,expense,2
2024-02-10,46.9,Food & Dining,Delivery,Dinner,DoorDash,expense,2
2024-02-10,14.05,Food & Dining,Restaurants,Coffee,Chipotle,expense,2
2024-02-10,37.31,ATM Fee,ATM Fee,Scientist cost religious give board.,Williams Inc,expense,2
2024-02-10,24.97,Other,Other,Nation say even.,Morales Inc,expense,2
2024-02-11,28.48,Food & Dining,Restaurants,Dinner,Starbucks,expense,2
2024-02-12,18.38,Entertainment,Movies,Movie tickets,AMC Theaters,expense,2
2024-02-13,229.61,Healthcare,Pharmacy,Doctor visit,Dental Associates,expense,2
2024-02-14,65.42,Transportation,Parking,Gas fill-up,Chevron,expense,2
2024-02-15,4298.11,Salary,Salary,Monthly salary payment,Healthcare LLC,income,2
2024-02-15,32.81,Food & Dining,Restaurants,Grocery shopping,Whole Foods,expense,2
2024-02-15,30.88,Shopping,Electronics,Online purchase,Best Buy,expense,2
2024-02-16,16.54,Shopping,Clothing,Online purchase,Best Buy,expense,2
2024-02-16,36.18,Shopping,Books,Online purchase,Macys,expense,2
2024-02-16,207.17,Healthcare,Pharmacy,Prescription,Kaiser Permanente,expense,2
2024-02-16,19.49,Other,Other,Second local.,Sanchez-Mcmillan,expense,2
2024-02-17,12.16,Entertainment,Gaming,Subscription,PlayStation Store,expense,2
2024-02-18,33.92,Bank Fee,Bank Fee,Rich present writer address.,"Evans, Price and Dudley",expense,2
2024-02-19,27.59,Transportation,Parking,Car payment,Lyft,expense,2
2024-02-19,19.15,Transportation,Public Transit,Car payment,Uber,expense,2
2024-02-20,32.41,ATM Fee,ATM Fee,Citizen show simply body.,"Dyer, Hart and Patterson",expense,2
2024-02-21,248.33,Utilities,Electric,Phone bill,Water Company,expense,2
2024-02-22,22.63,Shopping,Electronics,Personal items,Macys,expense,2
2024-02-23,37.23,Subscription,Subscription,Threat prepare fall hundred.,"Zimmerman, Lin and Gordon",expense,2
2024-02-23,15.69,Other,Other,Pick nature.,Cross Ltd,expense,2
2024-02-24,30.89,Entertainment,Sports,Movie tickets,Steam,expense,2
2024-02-25,23.15,Food & Dining,Restaurants,Dinner,Uber Eats,expense,2
2024-02-27,42.22,Food & Dining,Fast Food,Grocery shopping,McDonalds,expense,2
2024-03-01,4510.65,Salary,Salary,Monthly salary payment,Healthcare LLC,income,2
2024-03-02,81.12,Transportation,Gas,Parking fee,Shell,expense,2
2024-03-03,12.09,ATM Fee,ATM Fee,Tv listen black political.,Cunningham-Valencia,expense,2
2024-03-05,30.72,Entertainment,Gaming,Concert,Spotify,expense,2
2024-03-05,31.74,ATM Fee,ATM Fee,Throughout character ahead stop work.,Owens-Harris,expense,2
2024-03-07,5.18,Other,Other,Dog nature whether rule.,"Thomas, Zavala and Austin",expense,2
2024-03-08,38.72,Other,Other,Country low own enter.,"Melton, Rhodes and Davis",expense,2
2024-03-09,15.52,Food & Dining,Coffee,Lunch,DoorDash,expense,2
2024-03-09,54.23,Transportation,Public Transit,Parking fee,Uber,expense,2
2024-03-09,7.88,Entertainment,Gaming,Movie tickets,PlayStation Store,expense,2
2024-03-10,45.71,Transportation,Parking,Car payment,Lyft,expense,2
2024-03-10,22.16,Shopping,Personal Care,Retail shopping,CVS,expense,2
2024-03-12,22.6,Food & Dining,Fast Food,Lunch,Uber Eats,expense,2
2024-03-14,190.06,Healthcare,Dental,Insurance,Kaiser Permanente,expense,2
2024-03-15,4467.26,Salary,Salary,Monthly salary payment,Healthcare LLC,income,2
2024-03-15,34.96,Food & Dining,Delivery,Dinner,Starbucks,expense,2
2024-03-15,42.34,ATM Fee,ATM Fee,Hard man eye television.,Lawson-Johnson,expense,2
2024-03-16,33.51,Food & Dining,Coffee,Coffee,Whole Foods,expense,2
2024-03-16,51.82,Shopping,Home Goods,Retail shopping,CVS,expense,2
2024-03-18,1755.97,Housing,Rent,Mortgage payment,Wells Fargo,expense,2
2024-03-18,35.55,Transportation,Gas,Gas fill-up,Lyft,expense,2
2024-03-18,31.75,Other,Other,Project professional.,Terry LLC,expense,2
2024-03-22,54.07,Shopping,Electronics,Online purchase,Target,expense,2
2024-03-22,238.24,Healthcare,Dental,Prescription,Kaiser Permanente,expense,2
2024-03-22,40.43,Bank Fee,Bank Fee,Morning class help call.,Johnson Ltd,expense,2
2024-03-24,27.78,Entertainment,Sports,Movie tickets,Netflix,expense,2
2024-03-25,57.23,Transportation,Uber/Lyft,Car payment,Metro,expense,2
2024-03-26,22.41,Entertainment,Music,Concert,AMC Theaters,expense,2
2024-03-27,38.37,Food & Dining,Restaurants,Lunch,Uber Eats,expense,2
2024-03-28,46.5,Food & Dining,Delivery,Grocery shopping,Chipotle,expense,2
2024-03-29,250.69,Utilities,Water,Internet bill,PG&E,expense,2
2024-03-29,177.67,Healthcare,Doctor Visit,Doctor visit,CVS Pharmacy,expense,2
2024-03-29,28.51,Subscription,Subscription,Might situation shake.,Watts-Ruiz,expense,2
2024-04-01,4485.07,Salary,Salary,Monthly salary payment,Healthcare LLC,income,2
2024-04-01,1823.39,Freelance,Freelance,Freelance project payment,Client A,income,2
2024-04-01,21.02,Entertainment,Gaming,Concert,Spotify,expense,2
2024-04-02,28.73,Food & Dining,Groceries,Coffee,Chipotle,expense,2
2024-04-02,19.1,Entertainment,Music,Concert,Netflix,expense,2
2024-04-04,36.91,Subscription,Subscription,Current window cold likely.,Fletcher Ltd,expense,2
2024-04-05,11.37,Food & Dining,Coffee,Grocery shopping,Starbucks,expense,2
2024-04-05,210.05,Healthcare,Insurance Premium,Prescription,Kaiser Permanente,expense,2
2024-04-05,11.18,ATM Fee,ATM Fee,Unit return.,Chambers-Cohen,expense,2
2024-04-06,23.1,Entertainment,Music,Movie tickets,Spotify,expense,2
2024-04-11,34.5,Food & Dining,Restaurants,Dinner,DoorDash,expense,2
2024-04-11,58.27,Food & Dining,Restaurants,Dinner,Uber Eats,expense,2
2024-04-11,292.54,Utilities,Electric,Internet bill,Comcast,expense,2
2024-04-11,46.8,Bank Fee,Bank Fee,Range fly.,Gould and Sons,expense,2
2024-04-12,23.37,Shopping,Books,Retail shopping,Target,expense,2
2024-04-14,52.77,Shopping,Electronics,Personal items,Walgreens,expense,2
2024-04-15,4636.1,Salary,Salary,Monthly salary payment,Finance Inc,income,2
2024-04-18,31.23,Shopping,Clothing,Retail shopping,Macys,expense,2
2024-04-21,1808.29,Housing,Rent,Property maintenance,Landlord,expense,2
2024-04-21,62.7,Transportation,Parking,Gas fill-up,Metro,expense,2
2024-04-22,19.54,Other,Other,Individual business increase others.,Walker-Roberts,expense,2
2024-04-23,1696.87,Housing,HOA Fees,Rent payment,Home Depot,expense,2
2024-04-23,77.7,Transportation,Gas,Parking fee,Uber,expense,2
2024-04-23,8.96,Subscription,Subscription,Image writer provide wish board.,"Kline, Wallace and Johnson",expense,2
2024-04-24,19.53,Food & Dining,Fast Food,Grocery shopping,Chipotle,expense,2
2024-04-24,21.37,ATM Fee,ATM Fee,Change night dark.,Salazar-Baker,expense,2
2024-04-25,18.33,Entertainment,Streaming,Subscription,Steam,expense,2
2024-04-26,211.26,Utilities,Phone,Electric bill,Water Company,expense,2
2024-04-26,22.56,Entertainment,Streaming,Movie tickets,Netflix,expense,2
2024-04-26,8.79,Shopping,Home Goods,Online purchase,CVS,expense,2
2024-04-26,221.86,Healthcare,Insurance Premium,Insurance,Dental Associates,expense,2
2024-04-27,27.98,Entertainment,Streaming,Movie tickets,Steam,expense,2
2024-04-27,38.26,Shopping,Books,Personal items,Best Buy,expense,2
2024-04-29,36.37,Bank Fee,Bank Fee,Would establish statement.,Smith Ltd,expense,2
2024-04-29,23.23,Subscription,Subscription,Edge stage step interesting.,Dean-Stone,expense,2
2024-04-30,23.99,Transportation,Gas,Car payment,Chevron,expense,2
2024-05-01,4524.95,Salary,Salary,Monthly salary payment,Healthcare LLC,income,2
2024-05-01,1897.48,Freelance,Freelance,Freelance project payment,Client A,income,2
2024-05-02,15.43,Food & Dining,Delivery,Dinner,Starbucks,expense,2
2024-05-02,309.76,Utilities,Phone,Phone bill,AT&T,expense,2
2024-05-03,28.69,Shopping,Clothing,Retail shopping,CVS,expense,2
2024-05-04,19.3,Food & Dining,Coffee,Coffee,Starbucks,expense,2
2024-05-04,6.56,Entertainment,Movies,Movie tickets,PlayStation Store,expense,2
2024-05-06,255.72,Utilities,Water,Phone bill,Verizon,expense,2
2024-05-07,13.43,Food & Dining,Groceries,Lunch,Chipotle,expense,2
2024-05-07,13.87,Transportation,Gas,Car payment,Chevron,expense,2
2024-05-10,48.49,Shopping,Home Goods,Personal items,Macys,expense,2
2024-05-11,33.81,Other,Other,Throughout last.,Small-Knight,expense,2
2024-05-14,26.07,Food & Dining,Fast Food,Dinner,DoorDash,expense,2
2024-05-15,4531.65,Salary,Salary,Monthly salary payment,Tech Corp,income,2
2024-05-17,19.48,Entertainment,Streaming,Movie tickets,PlayStation Store,expense,2
2024-05-18,29.78,Bank Fee,Bank Fee,Our make alone baby.,Vincent-Jackson,expense,2
2024-05-19,50.76,Food & Dining,Delivery,Coffee,Starbucks,expense,2
2024-05-19,231.46,Utilities,Electric,Internet bill,AT&T,expense,2
2024-05-19,21.28,Shopping,Electronics,Personal items,Macys,expense,2
2024-05-19,45.04,Other,Other,Democratic strategy discuss author.,"Dalton, Thomas and Garcia",expense,2
2024-05-20,1801.86,Housing,Mortgage,Rent payment,Home Depot,expense,2
2024-05-22,20.08,Transportation,Public Transit,Gas fill-up,Honda Finance,expense,2
2024-05-22,15.98,Shopping,Electronics,Personal items,Target,expense,2
2024-05-22,129.83,Healthcare,Insurance Premium,Insurance,Kaiser Permanente,expense,2
2024-05-24,76.82,Transportation,Gas,Car payment,Uber,expense,2
2024-05-24,10.66,Entertainment,Gaming,Subscription,AMC Theaters,expense,2
2024-05-25,44.47,Food & Dining,Delivery,Dinner,Safeway,expense,2
2024-05-25,11.81,Bank Fee,Bank Fee,Relationship management.,Davis PLC,expense,2
2024-05-26,33.65,ATM Fee,ATM Fee,Idea response design sport.,Chavez-Wolfe,expense,2
2024-05-28,64.8,Transportation,Parking,Parking fee,Metro,expense,2
2024-05-30,26.26,Subscription,Subscription,Set cultural past though.,Jones Group,expense,2
2024-06-01,4399.08,Salary,Salary,Monthly salary payment,Finance Inc,income,2
2024-06-01,26.18,Food & Dining,Delivery,Lunch,Whole Foods,expense,2
2024-06-01,31.29,Food & Dining,Fast Food,Grocery shopping,Starbucks,expense,2
2024-06-01,27.41,Transportation,Uber/Lyft,Gas fill-up,Honda Finance,expense,2
2024-06-02,20.84,Shopping,Electronics,Personal items,Target,expense,2
2024-06-02,13.18,ATM Fee,ATM Fee,Program majority often.,Faulkner-Hughes,expense,2
2024-06-03,52.64,Shopping,Books,Retail shopping,Best Buy,expense,2
2024-06-06,15.02,Bank Fee,Bank Fee,Score risk worry.,"Lee, Brooks and Graham",expense,2
2024-06-07,22.2,Entertainment,Music,Movie tickets,PlayStation Store,expense,2
2024-06-08,207.5,Utilities,Electric,Internet bill,AT&T,expense,2
2024-06-09,76.52,Transportation,Parking,Car payment,Shell,expense,2
2024-06-10,14.48,Entertainment,Sports,Movie tickets,AMC Theaters,expense,2
2024-06-10,6.13,Subscription,Subscription,Challenge pattern.,"Daniel, Adams and Austin",expense,2
2024-06-13,1844.42,Housing,HOA Fees,Property maintenance,Bank of America,expense,2
2024-06-13,42.31,ATM Fee,ATM Fee,Old others none soldier career.,Torres-Michael,expense,2
2024-06-15,4342.04,Salary,Salary,Monthly salary payment,Healthcare LLC,income,2
2024-06-16,23.9,Entertainment,Gaming,Concert,PlayStation Store,expense,2
2024-06-16,15.08,ATM Fee,ATM Fee,Become brother technology.,Benton-Wheeler,expense,2
2024-06-17,1814.88,Housing,HOA Fees,Rent payment,Home Depot,expense,2
2024-06-18,245.64,Utilities,Electric,Electric bill,Comcast,expense,2
2024-06-19,27.32,Entertainment,Streaming,Concert,Netflix,expense,2
2024-06-20,164.19,Healthcare,Pharmacy,Doctor visit,Kaiser Permanente,expense,2
2024-06-21,31.94,Entertainment,Gaming,Subscription,Netflix,expense,2
2024-06-21,202.95,Healthcare,Doctor Visit,Prescription,Kaiser Permanente,expense,2
2024-06-22,37.62,Food & Dining,Groceries,Dinner,Starbucks,expense,2
2024-06-22,28.17,Transportation,Parking,Gas fill-up,Honda Finance,expense,2
2024-06-25,283.42,Utilities,Phone,Phone bill,Comcast,expense,2
2024-06-27,38.55,Transportation,Car Payment,Car payment,Metro,expense,2
2024-06-27,6.64,Subscription,Subscription,Walk when once wear dog.,Villegas Group,expense,2
2024-06-29,1693.58,Housing,HOA Fees,Property maintenance,Home Depot,expense,2
2024-06-29,40.27,Shopping,Home Goods,Retail shopping,Best Buy,expense,2
2024-06-29,9.26,ATM Fee,ATM Fee,Look tree difficult agree.,Taylor Group,expense,2
2024-06-30,27.92,Transportation,Uber/Lyft,Gas fill-up,Shell,expense,2
2024-07-01,4643.69,Salary,Salary,Monthly salary payment,Tech Corp,income,2
2024-07-01,21.92,Food & Dining,Fast Food,Coffee,Starbucks,expense,2
2024-07-01,10.14,Shopping,Home Goods,Personal items,Amazon,expense,2
2024-07-02,6.92,Entertainment,Movies,Concert,Spotify,expense,2
2024-07-04,11.75,Food & Dining,Delivery,Lunch,Safeway,expense,2
2024-07-05,271.98,Utilities,Electric,Internet bill,Comcast,expense,2
2024-07-05,40.77,Other,Other,Go check.,Velazquez and Sons,expense,2
2024-07-06,29.75,Food & Dining,Groceries,Grocery shopping,Chipotle,expense,2
2024-07-06,23.45,Subscription,Subscription,Land car.,Guzman-Evans,expense,2
2024-07-09,32.62,Entertainment,Movies,Concert,Spotify,expense,2
2024-07-10,193.64,Utilities,Internet,Electric bill,PG&E,expense,2
2024-07-11,36.35,Transportation,Uber/Lyft,Parking fee,Uber,expense,2
2024-07-11,51.43,Shopping,Home Goods,Online purchase,Amazon,expense,2
2024-07-11,154.73,Healthcare,Pharmacy,Doctor visit,CVS Pharmacy,expense,2
2024-07-15,4280.12,Salary,Salary,Monthly salary payment,Tech Corp,income,2
2024-07-15,275.0,Utilities,Electric,Internet bill,PG&E,expense,2
2024-07-17,16.28,Entertainment,Gaming,Concert,PlayStation Store,expense,2
2024-07-18,23.62,Other,Other,Sport none body.,"Macdonald, Fitzgerald and Burnett",expense,2
2024-07-21,1809.45,Housing,Mortgage,Property maintenance,Landlord,expense,2
2024-07-23,33.94,Transportation,Car Payment,Gas fill-up,Chevron,expense,2
2024-07-24,19.89,Subscription,Subscription,Lot kind agent.,"Stone, Simmons and Anderson",expense,2
2024-07-24,30.42,Other,Other,Treatment kid now keep.,Daniel Ltd,expense,2
2024-07-25,1733.64,Housing,Rent,Mortgage payment,Bank of America,expense,2
2024-07-25,43.55,Shopping,Books,Personal items,CVS,expense,2
2024-07-25,28.75,Other,Other,Smile wonder against.,Wright-Stewart,expense,2
2024-07-26,39.23,Transportation,Uber/Lyft,Car payment,Chevron,expense,2
2024-07-26,216.31,Healthcare,Pharmacy,Prescription,Dental Associates,expense,2
2024-07-27,12.14,Food & Dining,Coffee,Grocery shopping,Safeway,expense,2
2024-07-28,24.4,Subscription,Subscription,Hundred road any benefit.,Morgan-Collins,expense,2
2024-07-29,46.12,Food & Dining,Delivery,Coffee,Whole Foods,expense,2
2024-07-30,1791.98,Housing,Rent,Rent payment,Bank of America,expense,2
2024-07-30,10.8,Shopping,Personal Care,Personal items,Macys,expense,2
2024-07-31,9.68,Food & Dining,Fast Food,Grocery shopping,Whole Foods,expense,2
2024-07-31,41.27,ATM Fee,ATM Fee,West able matter interest.,"Griffin, Hernandez and Molina",expense,2
2024-08-01,4498.62,Salary,Salary,Monthly salary payment,Tech Corp,income,2
2024-08-01,22.45,ATM Fee,ATM Fee,Radio hospital prove next.,"Carroll, Phillips and Moore",expense,2
2024-08-01,26.22,Bank Fee,Bank Fee,Bill manager know.,Mccarthy-Brown,expense,2
2024-08-02,37.07,Food & Dining,Coffee,Dinner,Chipotle,expense,2
2024-08-02,281.61,Utilities,Internet,Internet bill,Water Company,expense,2
2024-08-02,13.25159973192713,Shopping,Home Goods,Retail shopping,Amazon,expense,2
2024-08-05,22.31,Entertainment,Sports,Subscription,Spotify,expense,2
2024-08-07,75.43,Transportation,Uber/Lyft,Parking fee,Metro,expense,2
2024-08-07,8.3,Entertainment,Gaming,Movie tickets,Spotify,expense,2
2024-08-08,247.8,Utilities,Phone,Phone bill,AT&T,expense,2
2024-08-08,28.16,Other,Other,Admit ability understand blue true.,Mcdonald PLC,expense,2
2024-08-14,1818.89,Housing,Mortgage,Rent payment,Property Manager,expense,2
2024-08-14,46.685552193651226,Shopping,Home Goods,Retail shopping,CVS,expense,2
2024-08-15,4301.7,Salary,Salary,Monthly salary payment,Tech Corp,income,2
2024-08-16,484.01151046754086,Travel,Car Rental,Hotel stay,Southwest Airlines,expense,2
2024-08-16,39.25,Bank Fee,Bank Fee,Wonder recognize star near.,Matthews-Bush,expense,2
2024-08-17,44.06,Food & Dining,Restaurants,Coffee,DoorDash,expense,2
2024-08-17,26.04,Other,Other,View American enough remember business.,Townsend-Rangel,expense,2
2024-08-17,33.04,Subscription,Subscription,Able get thank put.,"Nelson, Lynch and Wong",expense,2
2024-08-18,85.24,Transportation,Public Transit,Car payment,Chevron,expense,2
2024-08-19,33.56,Subscription,Subscription,Final measure animal.,Randolph-Arnold,expense,2
2024-08-19,10.21,ATM Fee,ATM Fee,Less tax around Democrat less.,"Patrick, Reed and Hatfield",expense,2
2024-08-20,1839.65,Housing,Maintenance,Rent payment,Property Manager,expense,2
2024-08-20,34.43,Food & Dining,Fast Food,Coffee,Safeway,expense,2
2024-08-20,14.65,Entertainment,Movies,Movie tickets,Netflix,expense,2
2024-08-21,34.93,Food & Dining,Delivery,Dinner,DoorDash,expense,2
2024-08-22,242.59,Utilities,Water,Electric bill,Comcast,expense,2
2024-08-23,1747.34,Housing,Maintenance,Mortgage payment,Landlord,expense,2
2024-08-23,68.13,Transportation,Public Transit,Gas fill-up,Metro,expense,2
2024-08-23,42.27204868460771,Shopping,Books,Personal items,Walgreens,expense,2
2024-08-24,12.73,ATM Fee,ATM Fee,Tell not.,"Rogers, Guerrero and Berg",expense,2
2024-08-24,33.87,ATM Fee,ATM Fee,Turn light mean cell.,Sanders-Jones,expense,2
2024-08-25,8.78,Entertainment,Movies,Subscription,Steam,expense,2
2024-08-25,9.79,Entertainment,Music,Concert,Netflix,expense,2
2024-08-25,6.38,Entertainment,Sports,Concert,AMC Theaters,expense,2
2024-08-27,245.56,Healthcare,Pharmacy,Insurance,Kaiser Permanente,expense,2
2024-08-28,18.13,Transportation,Public Transit,Car payment,Chevron,expense,2
2024-08-28,13.94,Transportation,Gas,Parking fee,Chevron,expense,2
2024-08-30,38.29102416263128,Shopping,Electronics,Retail shopping,CVS,expense,2
2024-08-30,34.34,Bank Fee,Bank Fee,Turn south road be.,"Vargas, Phillips and Reed",expense,2
2024-09-01,4366.26,Salary,Salary,Monthly salary payment,Healthcare LLC,income,2
2024-09-01,1815.95,Housing,Property Tax,Rent payment,Home Depot,expense,2
2024-09-01,40.99,Food & Dining,Fast Food,Lunch,Whole Foods,expense,2
2024-09-03,32.4,Entertainment,Gaming,Concert,PlayStation Store,expense,2
2024-09-03,13.75,Subscription,Subscription,Table treat on computer.,"Kelley, Owen and Acevedo",expense,2
2024-09-04,257.58,Utilities,Electric,Internet bill,Verizon,expense,2
2024-09-05,5.7,Entertainment,Music,Subscription,Netflix,expense,2
2024-09-05,9.74,Entertainment,Movies,Movie tickets,PlayStation Store,expense,2
2024-09-07,14.27,Subscription,Subscription,South bring.,"Wagner, Schwartz and Mcclure",expense,2
2024-09-08,12.44,Entertainment,Music,Movie tickets,Steam,expense,2
2024-09-11,34.62049737495941,Shopping,Clothing,Retail shopping,CVS,expense,2
2024-09-11,11.97,Other,Other,Arrive my.,"Wright, Morris and Garcia",expense,2
2024-09-12,24.11,Transportation,Parking,Parking fee,Chevron,expense,2
2024-09-13,51.61,Transportation,Uber/Lyft,Car payment,Honda Finance,expense,2
2024-09-14,46.66,Food & Dining,Fast Food,Lunch,Starbucks,expense,2
2024-09-14,40.375794664390526,Shopping,Clothing,Online purchase,Target,expense,2
2024-09-15,4410.62,Salary,Salary,Monthly salary payment,Tech Corp,income,2
2024-09-15,714.65,Freelance,Freelance,Freelance project payment,Client A,income,2
2024-09-15,55.10225863426436,Shopping,Books,Personal items,Walgreens,expense,2
2024-09-15,152.6,Healthcare,Doctor Visit,Insurance,Kaiser Permanente,expense,2
2024-09-15,26.21,Subscription,Subscription,Far green.,Hoffman-Morgan,expense,2
2024-09-15,16.4,Subscription,Subscription,Before eight receive around.,"Armstrong, Moore and Little",expense,2
2024-09-17,52.32,Food & Dining,Coffee,Lunch,Whole Foods,expense,2
2024-09-19,18.74,Subscription,Subscription,Bag friend.,Moss-Fisher,expense,2
2024-09-20,14.24,Subscription,Subscription,Recent sort what.,Sparks Group,expense,2
2024-09-21,16.95,Entertainment,Music,Subscription,AMC Theaters,expense,2
2024-09-22,35.7,Transportation,Public Transit,Gas fill-up,Lyft,expense,2
2024-09-22,16.54509355651488,Shopping,Home Goods,Personal items,CVS,expense,2
2024-09-23,27.38,Food & Dining,Groceries,Lunch,Chipotle,expense,2
2024-09-23,47.03,Transportation,Parking,Car payment,Uber,expense,2
2024-09-23,31.98,Subscription,Subscription,Various drive whose.,Barnes-Gardner,expense,2
2024-09-26,42.97,Transportation,Parking,Car payment,Honda Finance,expense,2
2024-09-26,61.21241047718641,Shopping,Electronics,Retail shopping,Amazon,expense,2
2024-09-27,1707.71,Housing,HOA Fees,Mortgage payment,Home Depot,expense,2
2024-09-28,20.07,Food & Dining,Groceries,Coffee,Uber Eats,expense,2
2024-09-29,225.34,Utilities,Electric,Phone bill,AT&T,expense,2
2024-09-30,42.58,Food & Dining,Groceries,Lunch,Whole Foods,expense,2
2024-09-30,26.525377873447447,Shopping,Home Goods,Personal items,CVS,expense,2
2024-10-01,4373.52,Salary,Salary,Monthly salary payment,Healthcare LLC,income,2
2024-10-04,67.93,Transportation,Car Payment,Gas fill-up,Shell,expense,2
2024-10-04,49.78,Transportation,Public Transit,Gas fill-up,Shell,expense,2
2024-10-04,14.99,Bank Fee,Bank Fee,Event will identify itself.,"Yang, Daniels and Harrison",expense,2
2024-10-05,32.92,Other,Other,Step join seek who role.,Harris Inc,expense,2
2024-10-08,150.76,Healthcare,Doctor Visit,Insurance,CVS Pharmacy,expense,2
2024-10-09,46.5,Subscription,Subscription,Top research security.,Cross LLC,expense,2
2024-10-11,19.06,Other,Other,Remain who more author.,Zimmerman-Bradford,expense,2
2024-10-12,48.88,Food & Dining,Fast Food,Lunch,DoorDash,expense,2
2024-10-12,15.03,Transportation,Parking,Car payment,Chevron,expense,2
2024-10-13,19.6,Food & Dining,Groceries,Coffee,DoorDash,expense,2
2024-10-14,18.64,Food & Dining,Coffee,Grocery shopping,Whole Foods,expense,2
2024-10-14,23.54,Transportation,Uber/Lyft,Parking fee,Uber,expense,2
2024-10-14,269.62,Utilities,Gas,Internet bill,Verizon,expense,2
2024-10-15,4450.31,Salary,Salary,Monthly salary payment,Tech Corp,income,2
2024-10-15,39.19,Shopping,Electronics,Online purchase,CVS,expense,2
2024-10-15,42.61,Other,Other,Pressure weight toward especially.,Wilson-Schroeder,expense,2
2024-10-15,15.43,Subscription,Subscription,Probably fall heart right.,Barton LLC,expense,2
2024-10-16,46.98,Transportation,Public Transit,Parking fee,Chevron,expense,2
