date,amount,category,subcategory,description,merchant,transaction_type,user_id
2024-02-04,8.64,Entertainment,Sports,Subscription,Netflix,expense,1
2024-02-04,4.25,Shopping,Books,Retail shopping,Macys,expense,1
2024-02-04,30.33,ATM Fee,ATM Fee,American whatever father the.,Compton-Crawford,expense,1
2024-02-04,7.69,Other,Other,Stock drop.,Cunningham-Frazier,expense,1
2024-02-05,10.55,Food & Dining,Coffee,Dinner,Safeway,expense,1
2024-02-06,7.59,Bank Fee,Bank Fee,Spring boy Congress.,Thompson-White,expense,1
2024-02-07,9.99,Entertainment,Music,Movie tickets,AMC Theaters,expense,1
2024-02-11,11.43,Entertainment,Music,Subscription,PlayStation Store,expense,1
2024-02-11,31.31,Bank Fee,Bank Fee,Will serve and.,Howell Ltd,expense,1
2024-02-12,22.44,Transportation,Parking,Car payment,Metro,expense,1
2024-02-13,4.62,Entertainment,Movies,Movie tickets,PlayStation Store,expense,1
2024-02-13,18.78,Bank Fee,Bank Fee,South rule police recently.,Montes-Schmidt,expense,1
2024-02-14,9.46,Food & Dining,Coffee,Dinner,Uber Eats,expense,1
2024-02-15,1672.05,Salary,Salary,Monthly salary payment,Healthcare LLC,income,1
2024-02-15,74.32,Utilities,Internet,Internet bill,Comcast,expense,1
2024-02-15,24.34,Subscription,Subscription,Staff nation how.,Dickson and Sons,expense,1
2024-02-16,79.69,Healthcare,Pharmacy,Prescription,CVS Pharmacy,expense,1
2024-02-17,4.66,Food & Dining,Groceries,Dinner,Uber Eats,expense,1
2024-02-17,19.04,Other,Other,A wide push start.,Morales LLC,expense,1
2024-02-17,39.98,Bank Fee,Bank Fee,Pull nothing.,Anderson-Hawkins,expense,1
2024-02-18,11.37,Transportation,Car Payment,Parking fee,Uber,expense,1
2024-02-20,637.4,Housing,Property Tax,Rent payment,Bank of America,expense,1
2024-02-20,11.37,Food & Dining,Groceries,Grocery shopping,Uber Eats,expense,1
2024-02-21,11.55,Entertainment,Movies,Movie tickets,AMC Theaters,expense,1
2024-02-21,9.24,Shopping,Clothing,Retail shopping,Macys,expense,1
2024-02-22,8.04,Food & Dining,Groceries,Coffee,Starbucks,expense,1
2024-02-22,9.59,Transportation,Car Payment,Gas fill-up,Metro,expense,1
2024-02-22,11.78,Transportation,Parking,Gas fill-up,Metro,expense,1
2024-02-22,34.57,ATM Fee,ATM Fee,Beautiful understand despite minute.,Jones-Erickson,expense,1
2024-02-23,31.37,Transportation,Uber/Lyft,Parking fee,Chevron,expense,1
2024-02-23,22.11,Bank Fee,Bank Fee,Side sport however.,Mendoza and Sons,expense,1
2024-02-24,6.75,ATM Fee,ATM Fee,Compare stock trial chair.,Lopez PLC,expense,1
2024-02-24,10.81,Subscription,Subscription,Else detail agency job black.,"Watson, Robinson and Mckay",expense,1
2024-02-25,19.27,Food & Dining,Coffee,Dinner,Whole Foods,expense,1
2024-02-25,9.48,Shopping,Electronics,Personal items,Amazon,expense,1
2024-02-26,8.93,Entertainment,Music,Movie tickets,Steam,expense,1
2024-02-26,6.6,ATM Fee,ATM Fee,Fine memory education hand doctor.,Hatfield-Reynolds,expense,1
2024-02-27,9.63,Transportation,Uber/Lyft,Car payment,Metro,expense,1
2024-02-28,17.45,Subscription,Subscription,Start fill firm.,Sutton Inc,expense,1
2024-02-29,82.4,Utilities,Gas,Phone bill,Verizon,expense,1
2024-03-01,1598.64,Salary,Salary,Monthly salary payment,Tech Corp,income,1
2024-03-01,17.7,Transportation,Parking,Parking fee,Shell,expense,1
2024-03-01,42.93,Subscription,Subscription,Concern meet none.,"Klein, Smith and Griffin",expense,1
2024-03-02,72.67,Utilities,Gas,Internet bill,Verizon,expense,1
2024-03-04,15.34,Other,Other,Administration could activity candidate.,Welch-Lee,expense,1
2024-03-05,5.49,Entertainment,Movies,Concert,AMC Theaters,expense,1
2024-03-06,16.69,Shopping,Clothing,Retail shopping,Macys,expense,1
2024-03-07,4.1,Entertainment,Gaming,Movie tickets,AMC Theaters,expense,1
2024-03-08,9.9,Transportation,Car Payment,Car payment,Chevron,expense,1
2024-03-10,657.66,Housing,Rent,Rent payment,Landlord,expense,1
2024-03-10,665.9,Housing,Maintenance,Mortgage payment,Home Depot,expense,1
2024-03-10,11.44,Shopping,Clothing,Retail shopping,Amazon,expense,1
2024-03-12,15.36,Transportation,Parking,Parking fee,Shell,expense,1
2024-03-12,3.34,Entertainment,Gaming,Concert,PlayStation Store,expense,1
2024-03-12,13.93,Shopping,Books,Online purchase,Best Buy,expense,1
2024-03-13,5.25,Food & Dining,Delivery,Grocery shopping,Starbucks,expense,1
2024-03-14,17.88,Subscription,Subscription,Way growth natural determine letter.,"Odonnell, Glass and Dorsey",expense,1
2024-03-15,1595.98,Salary,Salary,Monthly salary payment,Healthcare LLC,income,1
2024-03-16,42.88,Bank Fee,Bank Fee,Bit push community authority.,"Price, Barton and Curry",expense,1
2024-03-18,17.25,Food & Dining,Coffee,Lunch,Starbucks,expense,1
2024-03-18,15.82,Food & Dining,Restaurants,Coffee,Whole Foods,expense,1
2024-03-20,39.24,Bank Fee,Bank Fee,Public past fall customer mind.,Wood-Hernandez,expense,1
2024-03-20,43.56,Bank Fee,Bank Fee,Mother mission drop environmental.,Cortez Group,expense,1
2024-03-21,6.51,Food & Dining,Coffee,Coffee,McDonalds,expense,1
2024-03-21,46.43,Healthcare,Insurance Premium,Insurance,CVS Pharmacy,expense,1
2024-03-21,30.06,ATM Fee,ATM Fee,Gun discussion choice miss.,Stewart Group,expense,1
2024-03-22,9.85,Entertainment,Sports,Subscription,PlayStation Store,expense,1
2024-03-23,23.66,Other,Other,Bill any point compare.,White-Morse,expense,1
2024-03-25,69.86,Utilities,Phone,Electric bill,PG&E,expense,1
2024-03-27,660.52,Housing,Property Tax,Mortgage payment,Wells Fargo,expense,1
2024-03-28,10.65,Entertainment,Music,Movie tickets,Netflix,expense,1
2024-03-28,100.91,Travel,Vacation,Hotel stay,Expedia,expense,1
2024-03-30,15.9,Transportation,Parking,Car payment,Metro,expense,1
2024-03-30,13.19,Shopping,Electronics,Online purchase,CVS,expense,1
2024-03-31,97.18,Utilities,Electric,Phone bill,Verizon,expense,1
2024-04-01,1669.01,Salary,Salary,Monthly salary payment,Tech Corp,income,1
2024-04-02,82.43,Utilities,Electric,Electric bill,AT&T,expense,1
2024-04-02,5.19,Shopping,Personal Care,Retail shopping,Walgreens,expense,1
2024-04-02,5.02,Subscription,Subscription,Article PM candidate a two.,"Kelly, James and Mcneil",expense,1
2024-04-04,31.44,Other,Other,Attention very play rest.,"Smith, Rojas and Vargas",expense,1
2024-04-05,32.47,Transportation,Uber/Lyft,Gas fill-up,Chevron,expense,1
2024-04-05,2.52,Entertainment,Sports,Subscription,AMC Theaters,expense,1
2024-04-05,35.42,Bank Fee,Bank Fee,Important short.,"Reeves, Roy and Garrett",expense,1
2024-04-05,42.28,Other,Other,Contain plan.,Perry-Gardner,expense,1
2024-04-06,22.62,Food & Dining,Groceries,Grocery shopping,DoorDash,expense,1
2024-04-06,20.57,ATM Fee,ATM Fee,Despite develop face deep.,Murphy and Sons,expense,1
2024-04-07,6.94,Entertainment,Streaming,Movie tickets,Steam,expense,1
2024-04-08,21.52,Transportation,Car Payment,Parking fee,Metro,expense,1
2024-04-09,21.13,Transportation,Public Transit,Gas fill-up,Uber,expense,1
2024-04-10,10.23,Entertainment,Movies,Movie tickets,Spotify,expense,1
2024-04-10,12.38,Shopping,Clothing,Retail shopping,Best Buy,expense,1
2024-04-11,651.9,Housing,Maintenance,Property maintenance,Bank of America,expense,1
2024-04-13,13.18,Bank Fee,Bank Fee,Option answer best Democrat.,Castro-Lambert,expense,1
2024-04-14,12.52,Food & Dining,Restaurants,Lunch,DoorDash,expense,1
2024-04-14,19.88,Transportation,Parking,Gas fill-up,Uber,expense,1
2024-04-14,72.27,Healthcare,Dental,Prescription,Dental Associates,expense,1
2024-04-14,36.33,Other,Other,Situation begin sign wrong.,"Davila, Vasquez and Hart",expense,1
2024-04-15,1562.04,Salary,Salary,Monthly salary payment,Healthcare LLC,income,1
2024-04-15,28.91,Bank Fee,Bank Fee,Glass including sign quickly.,"Daniels, Mendoza and Ramirez",expense,1
2024-04-16,39.9,Subscription,Subscription,At on walk sure.,Johnson-Dominguez,expense,1
2024-04-17,6.47,Transportation,Gas,Car payment,Chevron,expense,1
2024-04-18,12.53,Shopping,Electronics,Personal items,Best Buy,expense,1
2024-04-20,100.79,Utilities,Water,Internet bill,Verizon,expense,1
2024-04-20,5.83,Subscription,Subscription,Choose family late.,Kennedy Ltd,expense,1
2024-04-23,6.45,Shopping,Personal Care,Retail shopping,Target,expense,1
2024-04-24,2.42,Entertainment,Music,Movie tickets,Spotify,expense,1
2024-04-25,13.42,Food & Dining,Coffee,Dinner,Chipotle,expense,1
2024-04-25,2.16,Entertainment,Gaming,Movie tickets,AMC Theaters,expense,1
2024-04-26,23.12,ATM Fee,ATM Fee,Official guess involve.,Jones PLC,expense,1
2024-04-27,111.97,Utilities,Water,Phone bill,Water Company,expense,1
2024-04-29,5.74,Food & Dining,Delivery,Lunch,McDonalds,expense,1
2024-04-29,12.53,Shopping,Clothing,Online purchase,Macys,expense,1
2024-04-29,23.72,ATM Fee,ATM Fee,Court us avoid.,Norris and Sons,expense,1
2024-05-01,1698.77,Salary,Salary,Monthly salary payment,Healthcare LLC,income,1
2024-05-01,1634.78,Freelance,Freelance,Freelance project payment,Upwork,income,1
2024-05-03,12.27,Entertainment,Movies,Concert,PlayStation Store,expense,1
2024-05-05,67.56,Utilities,Water,Phone bill,AT&T,expense,1
2024-05-06,29.47,Transportation,Uber/Lyft,Parking fee,Honda Finance,expense,1
2024-05-07,4.29,Food & Dining,Groceries,Grocery shopping,McDonalds,expense,1
2024-05-07,24.34,ATM Fee,ATM Fee,Total including effort interesting smile.,"Torres, Graves and Thomas",expense,1
2024-05-09,8.17,Shopping,Home Goods,Online purchase,Best Buy,expense,1
2024-05-10,23.18,Food & Dining,Fast Food,Lunch,McDonalds,expense,1
2024-05-11,24.67,Transportation,Uber/Lyft,Gas fill-up,Chevron,expense,1
2024-05-12,93.48,Utilities,Gas,Internet bill,Verizon,expense,1
2024-05-12,42.89,Subscription,Subscription,Part nearly finally.,"Navarro, Smith and Garcia",expense,1
2024-05-14,28.32,Subscription,Subscription,Never describe forward lawyer.,"Phillips, Watson and Williams",expense,1
2024-05-15,1656.43,Salary,Salary,Monthly salary payment,Healthcare LLC,income,1
2024-05-16,18.7,Other,Other,Range in summer.,Whitehead-Wells,expense,1
2024-05-17,16.81,Bank Fee,Bank Fee,Or machine.,Little-Strickland,expense,1
2024-05-20,15.21,Shopping,Clothing,Retail shopping,CVS,expense,1
2024-05-20,37.27,Other,Other,Society service coach role.,Perez LLC,expense,1
2024-05-21,286.85,Travel,Flights,Vacation expense,Expedia,expense,1
2024-05-24,665.68,Housing,Maintenance,Mortgage payment,Bank of America,expense,1
2024-05-24,68.52,Healthcare,Pharmacy,Prescription,Dental Associates,expense,1
2024-05-24,39.05,Subscription,Subscription,Yourself trouble fall.,"Reese, Foster and Munoz",expense,1
2024-05-25,4.98,Transportation,Parking,Parking fee,Chevron,expense,1
2024-05-26,19.58,Food & Dining,Fast Food,Lunch,Safeway,expense,1
2024-05-26,2.29,Entertainment,Movies,Movie tickets,Spotify,expense,1
2024-05-26,9.63,Bank Fee,Bank Fee,People onto last sound follow.,Briggs and Sons,expense,1
2024-05-27,12.55,Shopping,Clothing,Retail shopping,Walgreens,expense,1
2024-05-31,679.69,Housing,Maintenance,Mortgage payment,Wells Fargo,expense,1
2024-05-31,30.22,Transportation,Parking,Car payment,Metro,expense,1
2024-05-31,3.57,Entertainment,Streaming,Subscription,Spotify,expense,1
2024-05-31,36.86,Other,Other,Describe add according.,"Anderson, Dickerson and Faulkner",expense,1
2024-06-01,1711.75,Salary,Salary,Monthly salary payment,Finance Inc,income,1
2024-06-01,16.28,Food & Dining,Coffee,Lunch,Starbucks,expense,1
2024-06-01,3.15,Entertainment,Streaming,Subscription,Spotify,expense,1
2024-06-01,4.24,Shopping,Books,Personal items,Walgreens,expense,1
2024-06-01,46.86,Other,Other,Involve building turn.,Barrera and Sons,expense,1
2024-06-02,9.2,Food & Dining,Groceries,Lunch,Chipotle,expense,1
2024-06-02,114.5,Utilities,Gas,Internet bill,AT&T,expense,1
2024-06-03,649.71,Housing,HOA Fees,Property maintenance,Home Depot,expense,1
2024-06-03,12.09,Entertainment,Streaming,Concert,Spotify,expense,1
2024-06-05,6.0,Food & Dining,Restaurants,Dinner,Whole Foods,expense,1
2024-06-06,29.48,Transportation,Uber/Lyft,Gas fill-up,Lyft,expense,1
2024-06-06,27.54,Transportation,Public Transit,Gas fill-up,Chevron,expense,1
2024-06-07,12.25,Shopping,Personal Care,Personal items,Target,expense,1
2024-06-08,73.93,Healthcare,Insurance Premium,Doctor visit,Kaiser Permanente,expense,1
2024-06-08,424.8752948301847,Travel,Flights,Vacation expense,Marriott,expense,1
2024-06-08,18.64,ATM Fee,ATM Fee,Trial economy.,Walker-Bradley,expense,1
2024-06-09,11.79,Shopping,Books,Personal items,Walgreens,expense,1
2024-06-11,4.44,Entertainment,Streaming,Movie tickets,AMC Theaters,expense,1
2024-06-11,25.31,Bank Fee,Bank Fee,City itself goal oil become.,Rodriguez Group,expense,1
2024-06-12,24.64,Transportation,Car Payment,Parking fee,Honda Finance,expense,1
2024-06-12,21.05,Transportation,Parking,Gas fill-up,Shell,expense,1
2024-06-13,49.78,Healthcare,Dental,Doctor visit,CVS Pharmacy,expense,1
2024-06-13,37.24,Subscription,Subscription,Me race throughout.,"Jackson, Lewis and Wong",expense,1
2024-06-14,14.79,Shopping,Electronics,Personal items,Amazon,expense,1
2024-06-14,8.85,Shopping,Clothing,Online purchase,Best Buy,expense,1
2024-06-15,1669.74,Salary,Salary,Monthly salary payment,Healthcare LLC,income,1
2024-06-15,655.55,Housing,Maintenance,Mortgage payment,Landlord,expense,1
2024-06-16,16.56,Food & Dining,Delivery,Grocery shopping,Safeway,expense,1
2024-06-16,21.75,ATM Fee,ATM Fee,Six life country down.,Santiago Ltd,expense,1
2024-06-16,13.43,Other,Other,Spend finish evidence employee.,Arroyo Inc,expense,1
2024-06-22,23.85,ATM Fee,ATM Fee,Pretty then near occur.,"Schneider, Castaneda and Douglas",expense,1
2024-06-24,15.63,Transportation,Car Payment,Parking fee,Lyft,expense,1
2024-06-25,14.27,ATM Fee,ATM Fee,Pass beat us.,Pugh-Jenkins,expense,1
2024-06-28,29.12,Bank Fee,Bank Fee,Court risk seem.,"Gray, Irwin and Brady",expense,1
2024-06-30,81.37,Utilities,Water,Internet bill,Water Company,expense,1
2024-06-30,10.98,Other,Other,Government common word.,Gordon-Moore,expense,1
2024-07-01,1708.53,Salary,Salary,Monthly salary payment,Finance Inc,income,1
2024-07-01,18.7,Food & Dining,Coffee,Lunch,DoorDash,expense,1
2024-07-03,30.63,Bank Fee,Bank Fee,Interview way.,"Williams, Brown and Stewart",expense,1
2024-07-04,7.47,Shopping,Books,Online purchase,Walgreens,expense,1
2024-07-04,8.75,Shopping,Personal Care,Online purchase,Best Buy,expense,1
2024-07-05,24.65,Bank Fee,Bank Fee,Mr go environment.,Thomas-Klein,expense,1
2024-07-08,687.43,Housing,Mortgage,Rent payment,Wells Fargo,expense,1
2024-07-08,18.54,Transportation,Public Transit,Car payment,Shell,expense,1
2024-07-08,90.28,Utilities,Gas,Phone bill,AT&T,expense,1
2024-07-11,112.86,Utilities,Phone,Internet bill,PG&E,expense,1
2024-07-11,6.27,Entertainment,Gaming,Concert,Spotify,expense,1
2024-07-11,49.27,Subscription,Subscription,Risk best.,Coleman PLC,expense,1
2024-07-13,622.11,Housing,Mortgage,Mortgage payment,Home Depot,expense,1
2024-07-14,19.21,Transportation,Car Payment,Parking fee,Uber,expense,1
2024-07-15,1668.16,Salary,Salary,Monthly salary payment,Healthcare LLC,income,1
2024-07-16,35.27,Subscription,Subscription,Table allow yard fly.,"Bauer, Bird and Mcdonald",expense,1
2024-07-17,47.18,Bank Fee,Bank Fee,Involve side seem drug.,"Caldwell, Ward and Larson",expense,1
2024-07-21,650.27,Housing,Rent,Property maintenance,Landlord,expense,1
2024-07-21,22.77,Food & Dining,Groceries,Grocery shopping,Starbucks,expense,1
2024-07-23,8.85,Transportation,Car Payment,Parking fee,Chevron,expense,1
2024-07-23,3.47,Entertainment,Streaming,Subscription,Spotify,expense,1
2024-07-23,59.96,Healthcare,Doctor Visit,Prescription,Dental Associates,expense,1
2024-07-26,17.12,Other,Other,Within course present.,Gibson LLC,expense,1
2024-07-27,74.31,Healthcare,Doctor Visit,Doctor visit,Kaiser Permanente,expense,1
2024-07-28,42.15,Bank Fee,Bank Fee,Return art.,Bender Ltd,expense,1
2024-07-29,17.51,Shopping,Home Goods,Retail shopping,CVS,expense,1
2024-07-29,30.1,Subscription,Subscription,Sense tree break listen financial.,"Roy, Walker and Wilson",expense,1
2024-07-30,10.19,Entertainment,Gaming,Movie tickets,Netflix,expense,1
2024-07-30,19.36,Shopping,Electronics,Retail shopping,Best Buy,expense,1
2024-07-31,21.67,Food & Dining,Groceries,Dinner,McDonalds,expense,1
2024-07-31,3.92,Entertainment,Gaming,Subscription,Spotify,expense,1
2024-08-01,1591.07,Salary,Salary,Monthly salary payment,Tech Corp,income,1
2024-08-01,795.61,Freelance,Freelance,Freelance project payment,Upwork,income,1
2024-08-01,22.19,Bank Fee,Bank Fee,Later camera mother.,"Leach, Brewer and White",expense,1
2024-08-02,672.78,Housing,HOA Fees,Rent payment,Bank of America,expense,1
2024-08-02,4.788674374678114,Shopping,Personal Care,Personal items,Macys,expense,1
2024-08-05,12.45,Subscription,Subscription,Parent list red.,White Inc,expense,1
2024-08-05,39.31,Bank Fee,Bank Fee,Ready water discussion price.,Robinson Group,expense,1
2024-08-08,7.23,ATM Fee,ATM Fee,Himself early guy talk.,"Russell, Scott and Hanson",expense,1
2024-08-10,54.23,Healthcare,Doctor Visit,Insurance,CVS Pharmacy,expense,1
2024-08-10,39.66,Bank Fee,Bank Fee,Rise news discuss.,Cox Ltd,expense,1
2024-08-11,5.35,Food & Dining,Delivery,Coffee,DoorDash,expense,1
2024-08-11,78.69,Healthcare,Dental,Prescription,Kaiser Permanente,expense,1
2024-08-11,39.91,ATM Fee,ATM Fee,Measure design.,Garrison and Sons,expense,1
2024-08-12,77.5,Utilities,Internet,Electric bill,Water Company,expense,1
2024-08-13,47.4,Other,Other,Strategy rest point.,"Stevens, Johnson and Williams",expense,1
2024-08-14,13.563596607196388,Shopping,Electronics,Personal items,CVS,expense,1
2024-08-15,1666.86,Salary,Salary,Monthly salary payment,Finance Inc,income,1
2024-08-15,1695.61,Freelance,Freelance,Freelance project payment,Upwork,income,1
2024-08-15,11.98,Subscription,Subscription,According law part evening.,Lee-Vasquez,expense,1
2024-08-16,670.39,Housing,Property Tax,Rent payment,Landlord,expense,1
2024-08-16,6.76,Entertainment,Movies,Movie tickets,Steam,expense,1
2024-08-16,28.71,ATM Fee,ATM Fee,Voice itself place approach.,Davis-Valdez,expense,1
2024-08-18,9.19,Transportation,Car Payment,Gas fill-up,Lyft,expense,1
2024-08-18,26.7,Transportation,Public Transit,Parking fee,Chevron,expense,1
2024-08-18,2.96,Entertainment,Gaming,Concert,AMC Theaters,expense,1
2024-08-18,20.84,Bank Fee,Bank Fee,Rise this all.,Ramirez-Simmons,expense,1
2024-08-19,12.78,Transportation,Public Transit,Gas fill-up,Honda Finance,expense,1
2024-08-21,29.05,Transportation,Gas,Gas fill-up,Metro,expense,1
2024-08-23,2.9,Entertainment,Gaming,Concert,Netflix,expense,1
2024-08-24,45.4,ATM Fee,ATM Fee,Item media power.,"Gardner, Burns and Stewart",expense,1
2024-08-25,21.12,Food & Dining,Groceries,Coffee,Uber Eats,expense,1
2024-08-25,13.3,Transportation,Gas,Car payment,Uber,expense,1
2024-08-27,10.46,Entertainment,Movies,Subscription,Steam,expense,1
2024-08-27,12.11,Entertainment,Streaming,Concert,PlayStation Store,expense,1
2024-08-28,19.50414130443221,Shopping,Home Goods,Retail shopping,Macys,expense,1
2024-08-29,5.95,Food & Dining,Groceries,Lunch,McDonalds,expense,1
2024-08-29,15.41,Transportation,Parking,Gas fill-up,Shell,expense,1
2024-09-01,1556.23,Salary,Salary,Monthly salary payment,Healthcare LLC,income,1
2024-09-01,12.93,Other,Other,Certain wide guess boy.,"Villa, Wyatt and Pugh",expense,1
2024-09-02,3.96,Food & Dining,Fast Food,Coffee,McDonalds,expense,1
2024-09-03,25.72,Transportation,Parking,Gas fill-up,Lyft,expense,1
2024-09-03,104.36,Utilities,Water,Phone bill,Verizon,expense,1
2024-09-03,26.87,Subscription,Subscription,Whole will black end try.,Pierce-Hill,expense,1
2024-09-07,17.64,Food & Dining,Fast Food,Grocery shopping,DoorDash,expense,1
2024-09-07,21.03,Transportation,Gas,Gas fill-up,Uber,expense,1
2024-09-08,7.19,Other,Other,Design somebody seek direction let.,"Johnson, Lyons and Rodriguez",expense,1
2024-09-09,8.55,Entertainment,Music,Movie tickets,AMC Theaters,expense,1
2024-09-09,47.62,Bank Fee,Bank Fee,Young threat.,"Powers, Henderson and Thompson",expense,1
2024-09-10,10.7,Entertainment,Streaming,Subscription,PlayStation Store,expense,1
2024-09-10,21.9,Subscription,Subscription,Set fly too animal.,Rivas Inc,expense,1
2024-09-12,3.06,Entertainment,Sports,Subscription,Steam,expense,1
2024-09-12,24.590490032130855,Shopping,Electronics,Retail shopping,Amazon,expense,1
2024-09-13,20.51,Food & Dining,Fast Food,Grocery shopping,Safeway,expense,1
2024-09-14,15.776740710088164,Shopping,Electronics,Online purchase,Macys,expense,1
2024-09-14,11.88,Other,Other,Laugh size performance understand.,Ibarra Group,expense,1
2024-09-15,1716.81,Salary,Salary,Monthly salary payment,Tech Corp,income,1
2024-09-15,763.53,Freelance,Freelance,Freelance project payment,Client A,income,1
2024-09-15,54.11,Healthcare,Pharmacy,Insurance,Kaiser Permanente,expense,1
2024-09-15,46.31,Subscription,Subscription,Two magazine fill great.,Johnson and Sons,expense,1
2024-09-16,32.71,Transportation,Gas,Parking fee,Chevron,expense,1
2024-09-18,20.008893468249635,Shopping,Home Goods,Online purchase,Walgreens,expense,1
2024-09-19,9.85,Food & Dining,Delivery,Coffee,DoorDash,expense,1
2024-09-20,1.91,Entertainment,Music,Movie tickets,AMC Theaters,expense,1
2024-09-21,4.12,Entertainment,Gaming,Subscription,Netflix,expense,1
2024-09-21,34.05,Subscription,Subscription,And build second.,Stokes-Vargas,expense,1
2024-09-23,105.48,Utilities,Electric,Internet bill,Verizon,expense,1
2024-09-25,10.89,Transportation,Public Transit,Parking fee,Uber,expense,1
2024-09-25,46.0,Healthcare,Dental,Doctor visit,Kaiser Permanente,expense,1
2024-09-28,19.98,Transportation,Uber/Lyft,Parking fee,Honda Finance,expense,1
2024-09-28,25.250550554045947,Shopping,Home Goods,Personal items,Macys,expense,1
2024-09-28,73.61,Healthcare,Pharmacy,Doctor visit,Dental Associates,expense,1
2024-09-29,87.36,Utilities,Internet,Phone bill,Comcast,expense,1
2024-09-29,4.45,Entertainment,Sports,Subscription,PlayStation Store,expense,1
2024-09-30,625.1,Housing,Maintenance,Mortgage payment,Home Depot,expense,1
2024-10-01,1593.96,Salary,Salary,Monthly salary payment,Finance Inc,income,1
2024-10-02,108.34,Utilities,Phone,Electric bill,Verizon,expense,1
2024-10-02,52.96,Healthcare,Insurance Premium,Prescription,Kaiser Permanente,expense,1
2024-10-04,8.92,Subscription,Subscription,Lot pass edge available.,Hall Inc,expense,1
2024-10-05,15.12,Food & Dining,Restaurants,Grocery shopping,Starbucks,expense,1
2024-10-06,679.53,Housing,Maintenance,Mortgage payment,Landlord,expense,1
2024-10-07,35.16,Other,Other,Feel prevent official hit certainly.,James-Holloway,expense,1
2024-10-08,22.13,Food & Dining,Restaurants,Dinner,McDonalds,expense,1
2024-10-10,21.56,Food & Dining,Fast Food,Lunch,Uber Eats,expense,1
2024-10-10,5.55,Other,Other,Speak crime.,"Pierce, Mason and Harris",expense,1
